Close,KMO10,KMO20,KMO40,larger_than_KMO10?,shares10,larger_than_KMO20?,shares20,larger_than_KMO40?,shares40
30.04,29.767000000000003,29.428999999999995,28.6685,1.0,224.30774256115524,1.0,25.6,1.0,160.0
30.01,29.823,29.482999999999997,28.72675,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.99,29.867,29.528999999999996,28.778249999999996,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.93,29.904999999999994,29.564500000000002,28.826999999999998,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.97,29.875,29.602999999999998,28.879250000000003,1.0,224.30774256115524,1.0,25.6,1.0,160.0
30.02,29.877,29.642500000000002,28.93675,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.88,29.881,29.687,28.99925,0.0,1466.3765401757282,1.0,25.6,1.0,160.0
29.8,29.897,29.73,29.060250000000003,0.0,1466.3765401757282,1.0,25.6,1.0,160.0
29.87,29.927999999999997,29.774,29.120749999999997,0.0,1466.3765401757282,1.0,25.6,1.0,160.0
29.68,29.919,29.803999999999995,29.1755,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.62,29.877,29.821999999999996,29.22025,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.44,29.82,29.821499999999997,29.24925,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.72,29.792999999999996,29.830000000000002,29.28775,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.62,29.762,29.833500000000004,29.326999999999998,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.53,29.718,29.7965,29.378249999999998,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.39,29.655,29.766000000000002,29.427749999999996,0.0,1466.3765401757282,0.0,25.6,0.0,160.0
29.74,29.641000000000002,29.761000000000003,29.47025,1.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.88,29.649,29.773000000000003,29.512750000000004,1.0,1466.3765401757282,1.0,25.6,1.0,160.0
29.75,29.637,29.7825,29.549749999999996,1.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.76,29.645,29.782,29.572000000000003,1.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.54,29.637,29.756999999999998,29.593,0.0,1466.3765401757282,0.0,25.6,0.0,160.0
29.86,29.679000000000002,29.7495,29.616249999999997,1.0,1466.3765401757282,1.0,25.6,1.0,160.0
30.28,29.735000000000003,29.764000000000003,29.646499999999996,1.0,1466.3765401757282,1.0,25.6,1.0,160.0
29.66,29.739000000000004,29.7505,29.6575,0.0,1466.3765401757282,0.0,25.6,1.0,160.0
29.8,29.766,29.742,29.672499999999996,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,160.0
29.86,29.813,29.733999999999998,29.688250000000004,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,160.0
30.0,29.839,29.74,29.713500000000003,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,160.0
30.12,29.863,29.756,29.743000000000002,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,160.0
30.19,29.907,29.772000000000002,29.773000000000003,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,160.0
30.19,29.95,29.797500000000003,29.800750000000004,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,160.0
29.81,29.976999999999997,29.807000000000006,29.814500000000002,0.0,1466.3765401757282,1.0,10.240000000000002,0.0,1308.556379426565
29.94,29.984999999999996,29.832,29.826750000000004,0.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.19,29.976,29.8555,29.842750000000002,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.02,30.012,29.8755,29.854499999999994,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.33,30.065000000000005,29.915499999999998,29.856,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.52,30.131,29.972,29.869,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.37,30.168,30.003500000000003,29.88225,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.45,30.201,30.032,29.902499999999996,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.35,30.217000000000002,30.062,29.92225,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.28,30.226,30.088,29.935000000000002,1.0,1466.3765401757282,1.0,10.240000000000002,1.0,523.422551770626
30.04,30.249000000000002,30.113000000000007,29.935000000000002,0.0,1466.3765401757282,0.0,1420.3739627658897,1.0,523.422551770626
29.72,30.227000000000004,30.106,29.927750000000003,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.59,30.167,30.071499999999997,29.91775,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
