Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-09-13,87.55,87.91,87.01,87.05,19682706.0,0.0,1.0,78.636925280935,78.960275287801,78.151900270636,78.187828049177,19682706.0
2016-09-12,86.04,88.38,85.96,88.25,16105710.0,0.0,1.0,77.280651641024,79.382426685654,77.208796083943,79.265661405397,16105710.0
2016-09-09,87.1,87.17,86.24,86.24,21954951.0,0.0,1.0,78.232737772352,78.295611384799,77.460290533728,77.460290533728,21954951.0
2016-09-08,87.95,88.18,87.63,87.78,23465734.0,0.0,1.0,78.996203066342,79.202787792951,78.708780838017,78.843510007544,23465734.0
2016-09-07,88.31,88.41,87.71,87.95,17556418.0,0.0,1.0,79.319553073208,79.40937251956,78.780636395098,78.996203066342,17556418.0
2016-09-06,88.25,88.64,87.88,88.64,14472067.0,0.0,1.0,79.265661405397,79.615957246169,78.933329453896,79.615957246169,14472067.0
2016-09-02,88.48,88.87,88.04,88.2,17467091.0,0.0,1.0,79.472246132006,79.822541972778,79.077040568059,79.220751682221,17467091.0
2016-09-01,87.36,88.31,86.98,88.31,29793308.0,0.0,1.0,78.466268332867,79.319553073208,78.12495443673,79.319553073208,29793308.0
2016-08-31,87.75,87.85,87.025,87.31,11407806.0,0.0,1.0,78.816564173639,78.90638361999,78.165373187589,78.421358609691,11407806.0
2016-08-30,87.72,88.3,87.46,87.54,11618492.0,0.0,1.0,78.789618339733,79.310571128573,78.556087779219,78.6279433363,11618492.0
2016-08-29,87.39,88.4,87.32,88.3,8934447.0,0.0,1.0,78.493214166772,79.400390574925,78.430340554326,79.310571128573,8934447.0
2016-08-26,87.87,88.5,87.166,87.58,16408187.0,0.0,1.0,78.924347509261,79.490210021277,78.292018606945,78.663871114841,16408187.0
2016-08-25,87.3,87.94,87.04,87.9,10594773.0,0.0,1.0,78.412376665056,78.987221121707,78.178846104541,78.951293343166,10594773.0
2016-08-24,87.32,87.45,86.56,87.31,5713285.0,0.0,1.0,78.430340554326,78.547105834583,77.747712762053,78.421358609691,5713285.0
2016-08-23,87.13,87.5,87.035,87.4,5420104.0,0.0,1.0,78.259683606258,78.592015557759,78.174355132224,78.502196111408,5420104.0
2016-08-22,87.14,87.21,86.5801,86.85,5921119.0,0.0,1.0,78.268665550893,78.331539163339,77.76576647077,78.008189156473,5921119.0
2016-08-19,87.2,87.41,87.05,87.31,6199917.0,0.0,1.0,78.322557218704,78.511178056043,78.187828049177,78.421358609691,6199917.0
2016-08-18,86.94,87.46,86.94,87.44,7082804.0,0.0,1.0,78.08902665819,78.556087779219,78.08902665819,78.538123889948,7082804.0
2016-08-17,86.45,87.11,85.97,86.96,6762059.0,0.0,1.0,77.648911371066,78.241719716988,77.217778028578,78.10699054746,6762059.0
2016-08-16,86.98,87.4,86.47,86.58,8071056.0,0.0,1.0,78.12495443673,78.502196111408,77.666875260337,77.765676651323,8071056.0
2016-08-15,87.52,87.57,86.99,87.02,6871164.0,0.0,1.0,78.60997944703,78.654889170206,78.133936381366,78.160882215271,6871164.0
2016-08-12,86.92,87.45,86.775,87.04,8063375.0,0.0,1.0,78.071062768919,78.547105834583,77.940824571709,78.178846104541,8063375.0
2016-08-11,86.7,87.0,86.4,86.73,7387106.0,0.0,1.0,77.873459986946,78.142918326001,77.60400164789,77.900405820851,7387106.0
2016-08-10,86.26,86.82,86.0,86.31,5981436.0,0.0,1.0,77.478254422998,77.981243322568,77.244723862483,77.523164146174,5981436.0
2016-08-09,85.86,86.341,85.68,85.99,4158784.0,0.0,1.0,77.118976637591,77.551008174543,76.957301634158,77.235741917848,4158784.0
2016-08-08,85.61,85.9,85.13,85.76,5388137.0,0.0,1.0,76.894428021712,77.154904416132,76.463294679223,77.029157191239,5388137.0
2016-08-05,86.08,86.44,85.53,85.78,6729690.0,0.0,1.0,77.316579419565,77.639929426431,76.82257246463,77.04712108051,6729690.0
2016-08-04,86.12,86.53,85.8,86.05,5564060.0,0.0,1.0,77.352507198106,77.720766928148,77.06508496978,77.289633585659,5564060.0
2016-08-03,86.51,86.72,85.46,85.97,8192099.0,0.0,1.0,77.702803038877,77.891423876216,76.759698852184,77.217778028578,8192099.0
2016-08-02,87.02,87.15,86.24,86.76,13083211.0,0.0,1.0,78.160882215271,78.277647495528,77.460290533728,77.927351654757,13083211.0
